EventName,DisasterType,City,Latitude,Longitude,Year,Fatalities,Injuries,InsuredCostMillions,Month,State
"Severe Storm - New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia",Storm,"Sydney , Wollongong , Canberra (ACT) , Cooma (VIC) , Adelaide , Melbourne",-35.393782,147.265914,1,,,216700000,2,New South Wales
"Severe Storm - South East Queensland, Northern New South Wales, Northern Western Australia. Northern Territory",Storm,"Brisbane , Lismore (NSW) , Broome , Katherine",-22.17177,140.239195,3,3,,,3,New South Wales
Severe Storm - South Eastern Australia,Storm,"Sydney , Wollongong , Canberra (ACT) , Cooma (VIC) , Warrnambool (VIC) , Wilsons Promontory , Hobart , Melbourne",-37.383197,147.620608,24,1,,25000000,8,Victoria
Severe Storm - Sydney,Storm,Sydney,-33.960423,151.23445,16,,,10000000,2,Australian Capital Territory
"Severe Storm - Grafton, Kingscliff and Lismore",Storm,Lismore (NSW),-28.774488,153.267779,16,,,10000000,1,New South Wales
"Severe Storm - Sydney, Hunter Valley and Northern Regions",Storm,"Sydney , Tamworth , Wollongong",-33.129049,151.01053,3,2,,30000000,12,Northern Territory
Severe Storm - Eastern New South Wales,Storm,Sydney,-33.880426,151.215668,18,3,,30000000,11,New South Wales
Severe Storm - Casino and Region,Storm,Lismore (NSW),-28.568309,152.894808,17,,,35000000,1,New South Wales
Severe Storm - Sydney and Region,Storm,"Sydney , Wollongong",-34.154794,151.038583,15,,,12000000,1,Australian Capital Territory
Storm - Melbourne,Storm,Melbourne,-37.847384,144.960189,27,3,,,8,Victoria
Severe Storm - Dubbo,Storm,Dubbo,-32.248326,148.576834,6,,,15000000,1,New South Wales
"Severe Storm - Sydney, Wollongong and South Coast ",Storm,"Sydney , Wollongong",-33.8688,151.2093,24,,,45000000,10,Australian Capital Territory
Severe Storm - Kosciuszko NP ,Storm,Cooma (NSW),-36.235,149.125,7,4,,,8,New South Wales
Severe Storm - Warwick ,Storm,"Brisbane , Lismore (QLD)",-27.4698,153.0251,13,,,23000000,10,Queensland
"Severe Storm - Hunter Valley, Tablelands and Southern Highlands",Storm,"Sydney , Wollongong",-34.229385,150.474354,23,1,,12000000,6,Northern Territory
Severe Storm - Ipswich,Storm,Brisbane,-27.399807,152.945844,10,3,,,4,New South Wales
Severe Storm - Sydney,Storm,Sydney,-33.960423,151.23445,9,1,,10000000,4,Australian Capital Territory
Severe Storm - Sydney and Regions,Storm,"Dubbo , Sydney , Tamworth",-32.904587,149.928987,4,,,12000000,2,Australian Capital Territory
Severe Storm - Nyngan,Storm,Bourke,-30.085722,145.939762,5,,,12000000,1,New South Wales
Severe Storm - Coffs Harbour,Storm,Tamworth,-30.713315,150.410217,23,1,,20000000,11,New South Wales
Storm - Queensland Floods and Storms,Storm,Central and South East Queensland,-26.663903,152.067467,31,,,957000000,10,Queensland
Severe Storm - New England and Hunter Valley,Storm,"Sydney , Tamworth",-32.477517,151.131807,17,1,,10000000,11,Northern Territory
Severe Storm - Illawarra and Sydney,Storm,"Sydney , Wollongong",-33.965478,151.301027,31,,,10000000,8,Western Australia
Severe Storm - Hunter Valley and Mid North Coast,Storm,Sydney,-33.913426,151.704841,30,,,10000000,11,Northern Territory
Severe Storm - Sydney and Blue Mountains ,Storm,Sydney,-33.8688,151.2093,20,2,,29000000,11,Northern Territory
Severe Storm - South Eastern Australia,Storm,"Sydney , Canberra (ACT) , Melbourne",-37.383197,147.620608,6,1,,,11,Australian Capital Territory
"Severe Storm - Perth, Mandurah and South-West Coast",Storm,"Bunbury , Geraldton , Perth",-31.307599,115.319829,23,,,37000000,5,Western Australia
Severe Storm - Sydney,Storm,Sydney,-33.960423,151.23445,12,,,118000000,2,Australian Capital Territory
Severe Storm - Orbost,Storm,Cooma (VIC),-36.232629,149.12103,24,,,12000000,1,Victoria
Severe Storm - Sydney,Storm,Sydney,-33.960423,151.23445,21,1,,138400000,1,Australian Capital Territory
Severe Storm - Ballarat,Storm,Melbourne,-37.671247,144.461893,16,,,20000000,11,Victoria
Severe Storm - Adelaide,Storm,Adelaide,-35.219307,138.467555,6,,,10000000,12,Victoria
"Severe Storm - Newcastle, Sydney, Wollongong",Storm,"Sydney , Wollongong",-34.157808,151.336693,10,,,15000000,2,Australian Capital Territory
Severe Storm - Sydney,Storm,Sydney,-33.960423,151.23445,21,1,,15000000,1,Australian Capital Territory
Severe Storm - Western Sydney,Storm,Sydney,-33.752676,151.149453,9,,,732000000,11,Australian Capital Territory
Storm - Brisbane,Storm,Brisbane,-27.443505,153.008447,27,,,1040000000,11,New South Wales
Severe Storm - Sydney,Storm,Sydney,-33.960423,151.23445,25,4,,,1,Australian Capital Territory
Storm - Sydney Hailstorm,Storm,Sydney,-33.450915,151.15646,14,1,,1700000000,4,Australian Capital Territory
