EventName,DisasterType,City,Latitude,Longitude,Year,Fatalities,Injuries,InsuredCostMillions,Month,State
Flood - Clermont and Peak Downs,Flood,Clermont,-22.823941,147.636531,1870,15,,,2,Northern Territory
Flood - Widespread New South Wales and Queensland,Flood,New South Wales,-31.092078,147.567122,1863,10,,,2,New South Wales
Flood - Nowra,Flood,Wollongong,-34.465499,150.791591,1860,16,,,1,Australian Capital Territory
South-east Queensland Heavy rainfall and floods,Flood,Queensland,-20.904142,142.573086,8,1,,896000000,2,Queensland
Flood - Hobart flash flooding,Flood,Hobart,-42.7066,147.235305,10,,,137000000,5,Tasmania
Flood - south-eastern Australia,Flood,National,-25.273194,133.782873,1,1,,,9,South Australia
"Flood - Tasmania, 2016",Flood,"Mersey, Forth, Meander, North Esk, South Esk, Macquarie, Ouse, Huon and Derwent Rivers",-40.783273,146.904191,1,3,,180000000,6,Tasmania
Flood - Victoria,Flood,Cooma (VIC),-36.241757,148.756867,26,,,108212000,2,Victoria
Flood - New South Wales,Flood,"Bourke , Broken Hill , Canberra (NSW) , Cooma (NSW) , Dubbo , Narrabi , Swan Hill (NSW) , Sydney , Tamworth , Tibooburra (NSW) , Wollongong",-33.122401,147.812078,24,3,,108212000,1,New South Wales
Flood - Queensland,Flood,"Cairns , Cape York , Charters Towers , Cooktown , Gunpowder , Mackay , Mitchell River , Mornington Island , Normanton , Torres Strait , Townsville , Weipa",-16.287458,143.766069,24,1,,124688000,1,Queensland
Flood - Northern NSW - Moree,Flood,"Moree (NSW) , Narrabi , Tamworth",-30.290376,150.366085,27,1,,,11,New South Wales
Flood - Victoria ,Flood,"Mount Gambier (VIC) , Murray Bridge (VIC) , Swan Hill (VIC) , Melbourne",-37.8136,144.9631,12,,,122465000,1,Victoria
"Flood - Warum, Kimberly",Flood,Kimberly,-17.00044,127.999594,10,,,17500000,3,Western Australia
Flood - Queensland,Flood,Brisbane,-16.287458,143.766069,30,33,,2380000000,11,Queensland
Flood - Gascoyne river,Flood,Gascoyne River,-23.499928,115.00085,16,,,90000000,12,Western Australia
Flood - Queensland ,Flood,"Blackall , Brisbane , Charleville , Clermont , Eromanga , Moree (QLD) , Roma , Taroom , Windorah",-27.4698,153.0251,28,,,46700000,2,Queensland
Flood - Northern New South Wales,Flood,Lismore (NSW),-28.94687,153.554323,20,1,,48000000,5,New South Wales
Flood - Mid and North Coast ,Flood,Tamworth,-31.083,150.866,31,,,37000000,3,New South Wales
Flood - North Queensland,Flood,"Cairns , Townsville",-17.77499,146.005155,31,1,,19000000,1,Queensland
Flood - North Queensland ,Flood,"Cairns , Townsville",-19.2576,146.8178,12,,,19000000,1,Queensland
Flood - Mackay,Flood,"Blackall , Bundaberg , Cairns , Cape York , Charters Towers , Clermont , Cooktown , Croydon , Longreach , Mackay , Mitchell River , Normanton , Rockhampton , Taroom , Townsville , Weipa",-19.57672,145.835448,14,,,410000000,2,Northern Territory
Flood - North Coast New South Wales ,Flood,Lismore (NSW),-28.8123,153.2958,4,,,15000000,1,New South Wales
Flood - Queensland,Flood,"Ayr , Birdsville , Blackall , Boulia , Cairns , Cape York , Charleville , Charters Towers , Clermont , Cooktown , Coringa Islets , Croydon , Cunnamulla (QLD) , Eromanga , Longreach , Mackay , Mitchell River , Moree (QLD) , Mornington Island , Mount Isa , Normanton , Osprey Reef , Richmond , Rockhampton , Roma , Taroom , Tibooburra (QLD) , Townsville , Weipa , Windorah , Winton",-16.287458,143.766069,1,,,70000000,1,Queensland
Flood - South East Queensland ,Flood,"Brisbane , Lismore (QLD)",-27.4698,153.0251,27,,,15000000,12,Queensland
Flood - Gippsland,Flood,"Cooma (VIC) , Wilsons Promontory , Melbourne",-38.240682,146.700006,27,1,,15000000,6,Victoria
Flood - Gawler river,Flood,Gawler River,-34.721021,138.639582,8,,,40000000,11,South Australia
Flood - North East New South Wales,Flood,Lismore (NSW),-28.819641,153.261976,29,1,,25000000,6,New South Wales
Flood - South East Queensland,Flood,Lismore (QLD),-28.062455,153.301818,29,2,,53900000,6,Queensland
"Flood - Brisbane, Sunshine Coast, and Gold Coast",Flood,Brisbane,-27.790585,153.42097,9,2,,37000000,3,New South Wales
"Flood - Grafton, Kempsey and North Coast New South Wales ",Flood,"Lismore (NSW) , Tamworth",-28.8123,153.2958,5,,,25000000,3,New South Wales
Flood - North and Central Queensland,Flood,"Cairns , Townsville",-18.070816,146.336401,5,,,12000000,2,Queensland
Flood - Melbourne and Central Victoria,Flood,Melbourne,-37.662515,144.895409,26,,,10000000,12,Victoria
Flood - Switzerland Gorge Flash Flood,Flood,Outside Territorial Waters,-24.473232,109.765463,27,21,,,7,Western Australia
Flood - Sydney and Wollongong,Flood,"Sydney , Wollongong",-34.149113,151.051125,17,1,,40000000,8,Australian Capital Territory
Flood - Katherine Floods,Flood,Katherine,-14.39673,132.262329,25,3,,70000000,1,Northern Territory
Flood - Townsville,Flood,"Cairns , Townsville",-18.115766,146.259052,10,1,,71000000,1,Queensland
Flood - Southern Queensland and Northern New South Wales,Flood,"Brisbane , Lismore (NSW)",-28.159372,153.146826,1,5,,31000000,5,New South Wales
Flood - North-Eastern Victoria,Flood,Melbourne,-38.168853,145.156508,3,,,12000000,10,Victoria
"Flood - Gnarr Creek, Ballarat",Flood,Melbourne,-37.791801,144.841461,16,,,24000000,12,Victoria
Flood - Boonah,Flood,Brisbane,-27.453555,152.871171,7,3,,,2,New South Wales
Flood - Gulf Country ,Flood,"Cairns , Rockhampton",-16.9186,145.778,23,6,,32000000,12,Northern Territory
"Flood - Queensland - Charleville, New South Wales - Nyngan, Victoria - Gippsland",Flood,"Brisbane , Lismore (NSW) , Melbourne",-31.31405,150.278316,18,6,,30000000,4,New South Wales
"Flood - Gympie, Southern Queensland, and Eastern New South Wales",Flood,"Brisbane , Lismore (QLD)",-27.859422,152.689516,25,3,,,4,New South Wales
Flood - Lismore,Flood,Lismore (NSW),-28.797386,153.25714,7,,,25000000,4,New South Wales
Flood - Alice Springs and Central NT,Flood,Alice Springs,-23.722713,133.888682,31,3,,10000000,3,Northern Territory
Flood - Sydney,Flood,Sydney,-33.32949,151.037219,4,6,,35000000,8,Australian Capital Territory
Flood - Sydney,Flood,Sydney,-33.32949,151.037219,8,,,80000000,11,Australian Capital Territory
Flood - Dalby,Flood,Brisbane,-27.781769,153.054359,1,1,,20000000,2,New South Wales
"Flood - Sydney, Newcastle and Wollongong",Flood,Sydney,-33.868989,151.209569,10,6,,15000000,2,Australian Capital Territory
Flood - Sydney,Flood,Sydney,-33.32949,151.037219,9,,,15000000,3,Australian Capital Territory
Flood - Western Sydney,Flood,Sydney,-33.882575,151.122715,24,1,,20000000,4,Australian Capital Territory
Flood - Brisbane River,Flood,Brisbane,-27.439092,153.29633,25,13,,68000000,1,New South Wales
